site,gpslatdec,gpslongdec,elevation,n2017,n2019,n2021,height,diameter,delta.height,delta.diameter,survival.17.19,survival.19.21,weed.control
overall,NA,NA,NA,3742,647,430,68.94 (40.77),1.09 (0.56),16.79 (20.74),0.26 (0.36),0.172902191,0.114911812,NA
BlueHole,22.064034,-159.491739,680,586,117,84,44.85 (24.53),0.77 (.35) ,8.17 (9.29),0.01 (0.12),0.199658703,0.14334471,sporadic
HaupuSummit,21.925021,-159.401627,690,499,162,154,65.64 (32.79),1.21 (0.61),13.4 (17.31),0.31 (0.41),0.324649299,0.306613226,sporadic
Kanaele,21.971918,-159.506296,600,200,5,1,39 (NA),0.6 (NA),NA,NA,0.048,0.024,sporadic
Laauhihaihai,21.963178,-159.493585,550,540,109,29,77.07 (23.05),0.99 (.24),11.04 (14.5),0.18 (0.2),0.201851852,0.053703704,none
LowerHaupu,21.92853,-159.391219,370,82,34,17,56.12 (29.93),0.87 (0.3),12.23 (12.57),0.07 (0.13),0.414634146,0.207317073,none
LowerLimahuli,22.213707,-159.577594,120,165,93,61,117.1 (44.74),1.46 (0.62),38.34 (26.35),0.55 (0.42),0.563636364,0.36969697,consistent
Makaleha,22.109758,-159.394105,630,73,20,14,46 (22.85),0.86 (.31),10.5 (5.33),0.15 (0.17),0.273972603,0.191780822,none
McBryde,21.904466,-159.509351,70,856,11,8,130.62 (71.16),1.53 (0.55),46.83 (34.09),0.3 (.23),0.012850467,0.009345794,sporadic
NouNou,22.055687,-159.361202,290,125,6,3,132.67 (90.16),1.33 (0.87),36.67 (37.53),0.2 (0.26),0.048,0.024,none
PuuKolo,21.954278,-159.490835,540,312,24,20,79.05 (25.72),1.35 (0.48),19.69 (16.11),0.45 (0.42),0.076923077,0.064102564,none
UpperLimahuli,22.186485,-159.581222,930,304,66,40,44.28 (10.97),0.75 (0.2),6.53 (8.8),0.1 (0.15),0.217105263,0.128289474,consistent
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,